year,month,day,sales1,sales2,sales3,sales4,sales5,publicity_costs,costs
2019,11,20,52880,59833,64336,49324,88111,18955,85178
2019,11,21,9270,97162,12404,7696,92252,3574,59010
2019,11,22,98096,575,5463,15087,77196,36126,47500
2019,11,23,62665,25099,88252,21360,46906,45660,85111
2019,11,24,93374,2528,99653,62605,78712,30340,41929
2019,11,25,66822,65647,17106,92444,62808,45861,26491
2019,11,26,71411,15786,61852,69506,16361,17314,24592
2019,11,27,9908,53439,88443,88924,94889,43046,10283
2019,11,28,41795,38705,81746,35168,41232,47750,14125
2019,11,29,36295,94442,26053,19469,60088,9510,38264
2019,11,30,39247,21723,44754,10657,37508,6605,66514
2019,12,1,70220,90270,97458,96480,60061,2252,55403
2019,12,2,54949,95298,12038,96743,34002,43783,28263
2019,12,3,91586,91532,62387,27880,85973,4791,23700
2019,12,4,62412,64300,91963,1658,86022,3068,38666
2019,12,5,39882,59672,41532,10101,66294,38989,42932
2019,12,6,26354,41240,8335,97654,36537,20372,70749
2019,12,7,70539,30506,59011,78476,38389,37749,26355
2019,12,8,40714,42539,70055,3125,23190,28369,1135
2019,12,9,25564,31437,66152,65445,91108,7683,31897
2019,12,10,73753,46671,14829,16458,4263,23163,54112
2019,12,11,57151,59886,24860,44041,90391,222,32516
2019,12,12,28779,54322,28871,69492,13212,15277,18969
2019,12,13,36401,93645,10103,61964,25081,26254,33760
2019,12,14,32541,289,35657,22645,63311,16837,79103
2019,12,15,67573,6351,53214,41076,66236,44425,55116
2019,12,16,72978,10998,7632,18108,65319,2854,63952
2019,12,17,78530,84482,92920,31282,94478,19374,23246
2019,12,18,35911,11979,53357,84803,12267,5365,47447
2019,12,19,91930,72201,46549,59502,94903,16114,76929
2019,12,20,77490,10538,2045,50467,37887,26028,24927
2019,12,21,3205,95233,88878,81734,79714,48149,69368
2019,12,22,74191,17522,22613,10101,45852,42321,84903
2019,12,23,74471,97686,18702,66400,86238,15250,82253
2019,12,24,81141,81364,59182,58630,8253,11226,55449
2019,12,25,46140,3605,10375,65696,98837,49252,23782
2019,12,26,78550,97400,93149,69092,31273,32113,69193
2019,12,27,93476,24433,90447,67946,38470,9148,64345
2019,12,28,41060,90750,76598,38552,88465,35779,13533
2019,12,29,13069,13356,38981,59208,16960,15707,51256
2019,12,30,15796,81310,5037,10697,95061,14537,59788
2019,12,31,26333,46649,75332,19809,87433,32131,64106
2020,1,1,42255,7630,38451,83314,98379,31400,61865
