year,month,day,sales1,sales2,sales3,sales4,sales5,publicity_costs,costs
2019,7,2,96543,64025,85535,48164,53801,44589,76630
2019,7,3,84731,57439,57098,15834,29156,29147,33499
2019,7,4,84403,13532,94645,32609,12296,33231,43435
2019,7,5,63666,32679,53809,18740,44746,16741,19010
2019,7,6,72812,17033,12284,85706,97409,47819,73870
2019,7,7,51209,8759,86851,35939,82549,43949,81772
2019,7,8,11705,89447,91622,96107,2978,2619,35067
2019,7,9,31626,85849,64853,11643,34880,18662,70382
2019,7,10,79625,1754,55743,68788,18786,18027,74494
2019,7,11,32546,82197,88363,83755,90955,41565,76045
2019,7,12,73503,51865,4169,1559,41311,45790,57665
2019,7,13,60641,98408,42731,8618,609,7584,260
2019,7,14,35488,26245,66994,31464,44350,22736,50251
2019,7,15,63136,7114,71096,12033,5662,25810,2139
2019,7,16,96616,67375,48184,86471,19239,18704,58029
2019,7,17,76902,64493,2046,53894,79253,44776,22511
2019,7,18,96213,68711,99122,48052,11307,16115,79515
2019,7,19,55657,5203,96117,35144,12316,33565,17176
2019,7,20,17978,59374,59315,30945,26748,23850,63767
2019,7,21,62339,92553,38148,55592,73397,6545,39485
2019,7,22,52649,1320,88347,65213,70031,37468,83264
2019,7,23,81337,53583,9130,36993,58785,21599,12136
2019,7,24,87452,5163,35664,21781,80888,44978,49078
2019,7,25,7636,35179,19196,86326,27731,23695,8269
2019,7,26,17479,30239,67753,86480,31559,6099,21692
2019,7,27,17941,43566,81308,15629,13500,40437,62622
2019,7,28,88636,28387,41109,92440,49901,43124,14220
2019,7,29,30789,88101,99649,54776,39631,18845,31101
2019,7,30,67361,92539,99369,1192,22778,33473,47671
2019,7,31,70688,55923,55714,88628,15840,37021,50608
2019,8,1,29340,43810,89581,34327,72196,30690,46766
2019,8,2,38449,40165,57338,69237,28266,6986,84012
2019,8,3,84248,92182,81464,67961,84721,47184,69152
2019,8,4,23850,97008,56822,94537,52930,12535,9516
2019,8,5,68769,65908,36475,14460,9717,26056,65139
2019,8,6,98264,73097,91904,36712,13261,49241,85948
2019,8,7,57878,22579,46311,42126,14760,27774,60086
2019,8,8,15832,24957,79237,39681,38316,2410,10569
2019,8,9,91245,64944,66436,76366,30851,2911,67177
2019,8,10,56919,45318,72315,55183,18414,14219,11894
2019,8,11,31674,29811,14194,89552,68741,10504,61677
2019,8,12,83501,88278,58114,15684,29586,37350,1717
2019,8,13,67902,89759,22285,75498,71054,5073,31863
2019,8,14,18257,24335,59040,91527,69652,47706,26709
2019,8,15,88065,11924,54955,36090,58087,19148,25641
2019,8,16,43179,46003,73669,43031,50632,31782,18715
2019,8,17,96570,85483,30431,80823,91593,19067,46320
2019,8,18,78999,74139,24535,97255,14825,33574,68781
2019,8,19,84476,31279,51842,88892,59555,23148,64982
2019,8,20,33993,8647,66974,77171,54649,6995,56554
2019,8,21,5281,5128,95268,1850,90611,25698,62672
2019,8,22,82203,11116,55343,61201,1607,29877,4807
2019,8,23,16431,79802,79940,17259,11081,48133,42502
2019,8,24,86987,71280,63835,37331,79926,30809,70853
2019,8,25,34574,87803,67406,56206,9282,12673,84407
2019,8,26,99892,4722,73430,98447,32190,28773,85999
2019,8,27,33796,8649,67158,66578,88451,13449,43836
2019,8,28,15883,11581,22690,2869,82860,36524,46551
2019,8,29,79137,17332,87403,13710,21486,4809,86268
2019,8,30,30768,33833,60674,47011,54907,34104,81809
2019,8,31,87096,79228,37808,37243,87876,21317,3820
2019,9,1,92678,84765,4008,8560,96345,26697,87780
2019,9,2,95556,13220,84330,74692,46904,38085,14753
2019,9,3,68389,42893,91020,15508,93077,18046,58871
2019,9,4,47983,18501,40679,51430,97728,44838,88672
2019,9,5,1955,16154,92492,94633,17270,46499,89544
2019,9,6,13614,23195,47324,9169,52766,48005,40212
