rating1,rating2,rating3,rating4,rating5,month,year
5,0,4,2,3,12,2019
5,0,5,2,5,1,2020
1,1,4,5,3,2,2020
5,4,5,0,2,3,2020
3,0,4,0,4,4,2020
5,3,4,4,5,5,2020
3,2,0,1,5,6,2020
1,1,3,3,0,7,2020
0,2,3,5,1,8,2020
4,2,0,5,0,9,2020
1,4,0,1,0,10,2020
3,3,1,3,1,11,2020
0,1,4,3,5,12,2020
0,1,2,3,5,1,2021
0,0,0,5,2,2,2021
0,1,1,1,5,3,2021
0,5,5,1,4,4,2021
1,5,2,2,4,5,2021
2,4,3,4,1,6,2021
0,0,1,5,2,7,2021
0,3,4,0,4,8,2021
5,5,4,5,1,9,2021
0,0,3,3,1,10,2021
2,1,3,3,2,11,2021
3,0,1,0,4,12,2021
1,1,0,0,1,1,2022
4,3,2,0,4,2,2022
5,4,4,5,3,3,2022
1,0,2,5,4,4,2022
0,2,1,4,3,5,2022
3,2,2,3,0,6,2022
3,3,3,5,5,7,2022
3,2,5,3,5,8,2022
5,1,5,4,0,9,2022
1,1,4,3,3,10,2022
2,2,2,4,3,11,2022
1,1,4,4,1,12,2022
2,3,5,0,4,1,2023
4,3,0,4,3,2,2023
0,1,4,0,4,3,2023
4,2,2,3,2,4,2023
0,3,3,5,2,5,2023
4,3,0,0,3,6,2023
1,0,5,1,4,7,2023
5,2,3,3,2,8,2023
2,1,1,2,1,9,2023
3,5,2,5,1,10,2023
4,5,3,5,4,11,2023
1,0,1,1,5,12,2023
