rating1,rating2,rating3,rating4,rating5,month,year
4,3,2,3,3,11,2006
0,3,2,5,0,12,2006
3,3,2,5,3,1,2007
5,0,2,4,0,2,2007
4,1,0,5,2,3,2007
3,0,1,4,1,4,2007
1,1,4,5,1,5,2007
4,0,3,1,0,6,2007
2,3,2,2,0,7,2007
0,5,4,4,0,8,2007
4,0,1,2,0,9,2007
1,1,1,3,0,10,2007
0,2,0,0,3,11,2007
2,4,4,3,3,12,2007
2,5,2,1,4,1,2008
2,4,2,3,1,2,2008
4,4,3,3,5,3,2008
4,1,3,2,3,4,2008
3,0,4,3,0,5,2008
4,2,4,1,5,6,2008
2,5,2,3,2,7,2008
1,1,5,3,4,8,2008
4,3,5,2,5,9,2008
1,0,2,0,0,10,2008
5,5,4,1,4,11,2008
4,2,3,0,0,12,2008
1,3,0,5,0,1,2009
0,5,5,2,5,2,2009
1,0,3,5,2,3,2009
2,2,0,5,5,4,2009
1,4,5,3,3,5,2009
5,5,3,0,4,6,2009
4,3,2,5,1,7,2009
4,4,1,5,5,8,2009
4,0,5,0,0,9,2009
5,5,2,0,1,10,2009
1,4,5,1,5,11,2009
4,2,5,2,5,12,2009
3,3,1,3,4,1,2010
5,2,5,5,2,2,2010
4,1,5,1,5,3,2010
1,4,1,5,0,4,2010
5,3,0,5,2,5,2010
1,2,5,2,3,6,2010
4,3,0,0,4,7,2010
1,0,2,2,2,8,2010
4,3,3,4,4,9,2010
5,0,4,5,1,10,2010
5,0,4,2,5,11,2010
1,4,4,5,5,12,2010
5,5,4,1,3,1,2011
2,3,2,1,2,2,2011
2,4,1,3,2,3,2011
1,1,3,4,4,4,2011
5,3,0,2,4,5,2011
4,2,0,5,1,6,2011
0,4,2,2,4,7,2011
0,2,1,1,2,8,2011
5,3,5,4,4,9,2011
3,2,3,2,4,10,2011
2,0,4,3,3,11,2011
2,1,0,2,4,12,2011
3,1,0,0,1,1,2012
0,4,1,2,4,2,2012
4,2,1,4,4,3,2012
0,5,1,2,4,4,2012
1,2,1,2,0,5,2012
1,4,1,2,2,6,2012
1,1,2,0,1,7,2012
2,1,1,3,0,8,2012
4,1,2,2,1,9,2012
1,2,1,2,5,10,2012
1,2,2,3,4,11,2012
0,2,1,1,2,12,2012
3,2,0,0,4,1,2013
2,2,5,2,2,2,2013
5,2,2,0,4,3,2013
