rating1,rating2,rating3,rating4,rating5,month,year
2,5,0,4,5,5,2001
2,0,4,2,5,6,2001
3,0,2,2,4,7,2001
1,2,3,4,0,8,2001
5,1,5,2,3,9,2001
2,0,1,2,3,10,2001
5,1,2,4,1,11,2001
2,3,2,0,0,12,2001
4,4,5,3,5,1,2002
5,4,0,5,3,2,2002
0,5,4,5,3,3,2002
4,2,0,1,3,4,2002
5,2,5,3,0,5,2002
3,3,0,5,2,6,2002
4,5,5,3,3,7,2002
1,3,2,4,4,8,2002
3,5,3,3,3,9,2002
3,0,4,5,1,10,2002
4,3,4,2,1,11,2002
1,0,4,0,2,12,2002
3,2,2,0,1,1,2003
1,4,2,5,1,2,2003
3,5,2,0,5,3,2003
0,2,2,1,5,4,2003
4,4,4,1,4,5,2003
2,5,4,1,1,6,2003
2,4,4,1,4,7,2003
2,4,0,5,0,8,2003
2,4,3,0,2,9,2003
3,5,0,0,1,10,2003
4,2,3,4,0,11,2003
4,0,4,3,2,12,2003
2,1,4,4,3,1,2004
3,0,3,4,5,2,2004
4,2,3,0,5,3,2004
4,0,1,5,1,4,2004
4,5,4,4,1,5,2004
0,2,1,5,1,6,2004
3,5,1,3,1,7,2004
5,1,5,0,2,8,2004
3,3,5,0,3,9,2004
2,4,1,4,0,10,2004
2,0,2,1,2,11,2004
3,3,4,4,4,12,2004
3,5,3,5,2,1,2005
1,4,5,4,1,2,2005
5,2,3,1,5,3,2005
1,5,1,4,1,4,2005
0,5,3,1,0,5,2005
1,4,2,1,2,6,2005
1,2,4,3,3,7,2005
4,3,3,1,4,8,2005
0,3,2,1,1,9,2005
0,5,2,0,2,10,2005
4,4,2,1,5,11,2005
4,1,0,3,1,12,2005
5,2,2,5,3,1,2006
1,5,2,5,2,2,2006
3,2,4,5,0,3,2006
4,0,5,1,1,4,2006
4,1,3,2,5,5,2006
5,0,1,5,2,6,2006
0,2,2,3,2,7,2006
3,0,3,1,5,8,2006
2,4,4,3,5,9,2006
0,1,1,0,3,10,2006
2,0,5,3,1,11,2006
0,4,2,4,4,12,2006
0,1,4,5,0,1,2007
1,2,4,1,1,2,2007
1,2,0,4,5,3,2007
1,4,0,5,0,4,2007
3,4,3,3,5,5,2007
3,5,0,5,1,6,2007
0,5,0,4,3,7,2007
0,1,0,2,0,8,2007
3,2,0,1,4,9,2007
2,3,4,1,1,10,2007
1,1,2,1,4,11,2007
0,3,4,5,0,12,2007
0,5,3,2,2,1,2008
4,3,5,0,2,2,2008
4,0,2,4,1,3,2008
0,0,2,2,4,4,2008
0,5,0,5,5,5,2008
2,4,0,0,3,6,2008
2,4,5,4,2,7,2008
0,1,1,3,0,8,2008
5,0,3,2,4,9,2008
1,5,1,5,3,10,2008
3,4,5,5,1,11,2008
2,2,4,3,5,12,2008
2,5,1,4,3,1,2009
1,5,5,1,5,2,2009
0,0,0,4,4,3,2009
1,4,0,2,4,4,2009
2,0,4,0,2,5,2009
0,2,5,3,3,6,2009
0,2,3,3,0,7,2009
0,2,3,5,2,8,2009
4,5,3,3,4,9,2009
5,3,0,5,3,10,2009
2,5,4,5,2,11,2009
3,1,5,3,2,12,2009
5,1,0,1,1,1,2010
2,0,0,2,1,2,2010
3,5,4,5,0,3,2010
4,4,3,3,3,4,2010
5,3,0,4,3,5,2010
2,4,4,2,5,6,2010
0,4,1,0,3,7,2010
1,2,3,0,0,8,2010
4,4,1,5,2,9,2010
0,1,4,1,5,10,2010
1,4,0,1,1,11,2010
5,3,4,4,3,12,2010
4,0,4,3,1,1,2011
3,0,0,1,4,2,2011
2,4,5,3,5,3,2011
5,1,5,4,5,4,2011
3,4,3,1,2,5,2011
5,2,2,4,5,6,2011
5,0,2,4,4,7,2011
3,1,2,4,1,8,2011
1,2,2,5,5,9,2011
3,2,3,1,3,10,2011
5,1,2,5,4,11,2011
0,3,5,5,4,12,2011
5,0,4,0,4,1,2012
2,5,1,5,5,2,2012
5,0,4,2,0,3,2012
3,0,1,5,0,4,2012
2,5,0,3,4,5,2012
3,3,4,2,0,6,2012
0,3,3,0,3,7,2012
2,0,4,2,2,8,2012
4,4,1,0,0,9,2012
3,4,1,1,2,10,2012
4,4,4,2,0,11,2012
0,3,1,4,4,12,2012
0,2,1,5,1,1,2013
0,1,2,5,3,2,2013
1,4,0,0,4,3,2013
5,4,4,0,0,4,2013
4,4,0,5,0,5,2013
1,4,4,4,0,6,2013
4,4,5,2,2,7,2013
2,1,3,0,1,8,2013
5,2,2,2,5,9,2013
4,1,2,0,4,10,2013
0,3,1,4,0,11,2013
4,2,2,1,2,12,2013
1,2,2,1,1,1,2014
3,3,4,2,1,2,2014
5,3,2,2,1,3,2014
0,1,5,2,3,4,2014
4,4,2,5,4,5,2014
5,3,5,4,0,6,2014
1,4,4,0,0,7,2014
3,5,4,2,3,8,2014
0,5,5,4,5,9,2014
