rating1,rating2,rating3,rating4,rating5,month,year
3,2,1,0,5,12,2013
3,4,2,2,1,1,2014
3,5,0,2,2,2,2014
4,0,2,0,0,3,2014
3,0,5,0,2,4,2014
1,1,2,5,5,5,2014
3,0,1,2,5,6,2014
3,1,5,5,3,7,2014
4,1,3,1,0,8,2014
4,4,1,1,4,9,2014
1,4,5,3,3,10,2014
4,0,5,4,2,11,2014
4,1,4,1,5,12,2014
2,1,1,4,3,1,2015
5,3,2,2,0,2,2015
1,2,1,0,1,3,2015
5,1,2,3,3,4,2015
3,2,1,3,2,5,2015
4,4,4,2,5,6,2015
2,1,1,1,2,7,2015
4,3,1,4,0,8,2015
0,1,2,3,4,9,2015
2,5,2,4,5,10,2015
1,2,4,2,2,11,2015
1,0,3,0,4,12,2015
5,0,1,0,0,1,2016
4,1,3,5,4,2,2016
3,5,5,2,4,3,2016
0,2,3,5,5,4,2016
1,0,0,2,1,5,2016
5,1,5,0,5,6,2016
4,2,5,5,2,7,2016
1,2,3,1,4,8,2016
3,0,4,5,5,9,2016
5,1,2,1,3,10,2016
0,2,3,5,2,11,2016
1,1,5,2,1,12,2016
3,2,5,3,4,1,2017
1,3,0,0,2,2,2017
4,2,1,5,1,3,2017
1,0,3,2,4,4,2017
2,3,2,2,5,5,2017
4,0,4,2,4,6,2017
3,3,3,2,1,7,2017
4,4,4,3,3,8,2017
4,2,0,0,3,9,2017
1,3,0,0,1,10,2017
3,5,4,0,3,11,2017
3,1,2,2,5,12,2017
5,5,1,1,4,1,2018
3,4,2,0,2,2,2018
5,1,4,5,5,3,2018
5,0,2,4,2,4,2018
1,1,2,4,4,5,2018
4,2,2,2,1,6,2018
2,5,1,3,0,7,2018
2,0,4,4,0,8,2018
1,3,3,4,3,9,2018
1,3,3,1,1,10,2018
2,0,5,4,0,11,2018
5,4,1,1,4,12,2018
3,3,5,5,4,1,2019
4,2,3,4,3,2,2019
2,3,5,5,1,3,2019
5,2,3,3,4,4,2019
5,2,0,2,2,5,2019
4,1,5,4,3,6,2019
4,3,2,5,4,7,2019
0,5,1,5,1,8,2019
2,3,3,0,1,9,2019
2,2,1,3,1,10,2019
2,4,4,5,4,11,2019
5,5,5,0,5,12,2019
3,0,4,4,5,1,2020
5,3,1,0,2,2,2020
1,3,0,5,5,3,2020
3,0,2,0,5,4,2020
5,3,0,4,1,5,2020
0,1,5,3,3,6,2020
3,4,0,3,2,7,2020
5,1,2,2,0,8,2020
2,3,5,3,5,9,2020
3,4,5,2,2,10,2020
3,2,5,5,5,11,2020
2,4,5,5,1,12,2020
2,0,0,5,2,1,2021
2,1,1,3,5,2,2021
4,2,4,2,0,3,2021
3,1,1,1,4,4,2021
3,2,4,3,5,5,2021
5,0,4,2,4,6,2021
4,0,1,2,4,7,2021
4,5,4,5,4,8,2021
2,4,3,1,0,9,2021
1,1,2,3,2,10,2021
2,0,4,3,5,11,2021
1,0,0,5,2,12,2021
4,5,5,3,1,1,2022
3,5,4,0,1,2,2022
2,5,4,2,1,3,2022
4,1,2,2,2,4,2022
4,0,1,4,4,5,2022
1,4,2,5,0,6,2022
0,0,2,4,0,7,2022
1,4,4,2,1,8,2022
5,0,0,3,0,9,2022
1,0,5,5,2,10,2022
1,2,2,0,5,11,2022
3,2,1,0,1,12,2022
2,2,0,1,5,1,2023
3,2,2,5,3,2,2023
3,4,3,1,1,3,2023
4,1,4,3,5,4,2023
5,1,3,5,2,5,2023
2,0,5,3,5,6,2023
2,4,1,0,3,7,2023
1,3,3,1,1,8,2023
0,3,0,3,3,9,2023
2,0,5,3,5,10,2023
3,1,4,0,0,11,2023
2,1,1,2,0,12,2023
