rating1,rating2,rating3,rating4,rating5,month,year
3,0,3,3,4,8,2019
1,5,3,5,5,9,2019
1,4,2,2,3,10,2019
5,4,4,1,1,11,2019
2,0,5,1,4,12,2019
1,4,5,3,2,1,2020
5,2,3,0,3,2,2020
2,2,0,1,1,3,2020
1,1,5,1,1,4,2020
1,5,3,2,2,5,2020
4,0,5,0,1,6,2020
0,2,0,1,3,7,2020
2,1,2,5,0,8,2020
4,4,5,0,2,9,2020
1,4,4,3,0,10,2020
5,2,4,3,5,11,2020
1,5,2,1,2,12,2020
4,1,5,0,2,1,2021
3,2,3,4,5,2,2021
0,3,2,3,1,3,2021
4,1,5,1,1,4,2021
4,5,5,5,1,5,2021
5,2,5,5,5,6,2021
3,3,1,1,4,7,2021
1,2,3,5,0,8,2021
0,5,4,4,2,9,2021
1,1,4,2,2,10,2021
2,4,0,5,2,11,2021
0,2,3,5,1,12,2021
3,1,4,0,5,1,2022
1,1,1,2,2,2,2022
2,2,5,0,4,3,2022
2,3,3,2,4,4,2022
4,4,2,4,5,5,2022
1,2,2,4,0,6,2022
4,3,3,3,4,7,2022
1,4,4,1,3,8,2022
2,3,1,1,5,9,2022
2,3,5,0,0,10,2022
0,2,0,2,1,11,2022
1,1,1,0,1,12,2022
1,2,4,5,3,1,2023
3,4,2,5,5,2,2023
3,1,5,1,4,3,2023
4,4,1,2,1,4,2023
3,3,5,5,2,5,2023
1,4,5,1,2,6,2023
1,4,1,0,0,7,2023
5,2,1,3,2,8,2023
4,1,1,5,3,9,2023
2,3,4,4,0,10,2023
1,0,0,2,2,11,2023
1,2,4,0,0,12,2023
