rating1,rating2,rating3,rating4,rating5,month,year
5,1,3,2,4,8,2021
3,3,5,0,0,9,2021
2,3,0,5,4,10,2021
4,4,1,5,5,11,2021
2,5,3,0,5,12,2021
1,4,0,2,3,1,2022
5,4,5,5,5,2,2022
2,5,2,5,5,3,2022
1,5,4,1,3,4,2022
5,4,0,1,0,5,2022
1,1,1,0,1,6,2022
2,2,0,0,1,7,2022
4,3,4,1,2,8,2022
1,4,4,5,5,9,2022
4,4,0,1,4,10,2022
3,0,2,0,5,11,2022
3,3,5,5,4,12,2022
2,5,4,4,4,1,2023
4,2,1,1,5,2,2023
4,2,3,5,2,3,2023
0,4,1,0,2,4,2023
1,1,5,1,4,5,2023
5,1,0,5,3,6,2023
2,1,1,0,3,7,2023
0,1,3,2,1,8,2023
5,5,0,4,4,9,2023
1,5,0,2,5,10,2023
4,2,4,4,4,11,2023
4,0,0,5,1,12,2023
