year,month,day,sales1,sales2,sales3,sales4,sales5,publicity_costs,costs
2023,1,25,9289,37740,72547,80662,69368,20492,84142
2023,1,26,28256,72814,28078,6734,37588,26325,7792
2023,1,27,17684,38780,70355,43606,55989,7135,64457
2023,1,28,13376,9819,41430,89031,61752,12132,7569
2023,1,29,3751,82418,48609,29392,36509,37507,30053
2023,1,30,22229,57998,40546,66836,47163,18623,53569
2023,1,31,84750,61299,71360,18785,78,8066,42391
2023,2,1,72418,15201,23199,2145,25019,14628,21176
2023,2,2,86771,43111,8744,6873,41880,7352,56264
2023,2,3,78388,11210,62668,616,85560,3213,7451
2023,2,4,32722,88187,41019,33824,49486,28730,2608
2023,2,5,65915,3148,14998,38333,18348,4548,20477
2023,2,6,59718,19175,48004,62840,78637,6747,79713
2023,2,7,20516,30450,5976,15256,41660,34996,22223
2023,2,8,43571,88208,16026,76292,76395,7044,10115
2023,2,9,42232,2126,79075,8146,5273,44072,66478
2023,2,10,39972,48620,3307,99689,84146,1310,32529
2023,2,11,79135,24409,48593,16002,71210,20920,71257
2023,2,12,29221,55915,63480,72791,60475,45857,65435
2023,2,13,53221,69252,75549,95452,71377,4623,63597
2023,2,14,93001,65047,66427,32972,30018,36085,19013
2023,2,15,30515,53746,27893,9649,94506,26485,5651
2023,2,16,65716,63756,73259,94936,36023,3090,87727
2023,2,17,96497,48946,33161,49717,18198,25061,21520
2023,2,18,5926,96036,81468,98927,77434,14246,31898
2023,2,19,7451,50330,97262,54317,20428,25154,63966
2023,2,20,14933,17990,5968,80648,81746,45578,41936
2023,2,21,17768,48668,59662,30616,13965,9174,30332
2023,2,22,32162,50586,58203,38088,62973,39670,33366
2023,2,23,40406,3916,85263,64208,70597,32525,48525
2023,2,24,91024,24030,98842,5957,42020,21161,82956
2023,2,25,23765,16738,94891,57884,65405,20904,88499
2023,2,26,79370,96429,85182,27883,63367,43384,42322
2023,2,27,26339,83053,35687,83097,86968,37302,73656
2023,2,28,73917,36178,82180,64940,60207,47373,27248
2023,3,1,2226,18533,90204,42342,35271,1446,20225
2023,3,2,675,72350,5075,96396,85130,40256,64279
2023,3,3,48496,33639,6600,74835,33044,42287,14283
2023,3,4,36363,95940,37938,10279,32117,36470,75219
2023,3,5,92323,33842,62466,94549,52375,19021,53242
2023,3,6,3997,70467,69819,21023,59168,24893,77419
2023,3,7,44297,65149,58049,9145,15139,31000,50331
2023,3,8,64534,39638,74613,897,35577,12550,71175
2023,3,9,67693,49019,2745,76368,99213,31563,50916
2023,3,10,67939,66935,40509,71935,53753,10327,12957
2023,3,11,12920,85220,26727,73569,66720,34775,62713
2023,3,12,98210,82127,83043,62744,21764,24007,63640
2023,3,13,73693,86556,91166,41385,51927,43911,24104
