rating1,rating2,rating3,rating4,rating5,month,year
2,4,5,3,5,7,2021
2,4,5,4,2,8,2021
1,0,5,1,2,9,2021
0,4,1,5,1,10,2021
3,5,1,2,5,11,2021
4,1,2,3,5,12,2021
4,2,2,3,5,1,2022
1,0,4,1,3,2,2022
2,3,2,5,2,3,2022
2,4,2,2,5,4,2022
0,4,5,0,5,5,2022
3,4,3,2,1,6,2022
5,3,0,3,3,7,2022
0,5,3,4,3,8,2022
4,2,2,4,3,9,2022
2,1,3,0,5,10,2022
0,5,1,4,0,11,2022
1,1,5,4,4,12,2022
5,3,3,1,5,1,2023
1,2,1,5,1,2,2023
3,3,1,4,5,3,2023
4,4,1,5,1,4,2023
3,2,3,1,4,5,2023
1,3,5,0,0,6,2023
4,3,4,1,0,7,2023
5,3,2,4,0,8,2023
0,0,0,5,0,9,2023
4,0,1,3,1,10,2023
2,4,3,4,0,11,2023
1,0,4,4,2,12,2023
