rating1,rating2,rating3,rating4,rating5,month,year
1,0,4,5,5,11,2021
4,3,3,2,5,12,2021
2,5,2,1,4,1,2022
3,5,4,2,1,2,2022
0,5,4,1,3,3,2022
2,4,4,3,2,4,2022
0,5,4,3,1,5,2022
3,0,0,5,4,6,2022
1,4,4,3,3,7,2022
0,4,1,5,5,8,2022
0,1,3,0,3,9,2022
5,2,0,2,3,10,2022
5,5,4,2,2,11,2022
4,3,5,3,4,12,2022
0,5,0,4,5,1,2023
2,0,2,2,3,2,2023
4,2,5,5,4,3,2023
4,3,4,3,5,4,2023
5,3,1,1,2,5,2023
2,2,0,1,1,6,2023
2,0,3,0,4,7,2023
4,0,4,2,5,8,2023
2,4,5,0,1,9,2023
1,1,4,1,4,10,2023
4,2,5,3,1,11,2023
3,1,5,4,2,12,2023
