rating1,rating2,rating3,rating4,rating5,month,year
3,1,4,4,4,8,2021
2,0,2,4,3,9,2021
2,5,0,4,3,10,2021
0,3,4,5,1,11,2021
2,4,4,4,5,12,2021
0,5,4,3,3,1,2022
5,4,3,3,4,2,2022
3,5,5,0,0,3,2022
4,3,1,3,5,4,2022
5,0,2,5,2,5,2022
1,1,4,4,2,6,2022
5,0,1,1,0,7,2022
3,5,0,2,1,8,2022
2,4,4,1,5,9,2022
2,1,0,5,3,10,2022
0,0,2,2,5,11,2022
0,4,4,2,1,12,2022
5,0,0,3,1,1,2023
3,4,5,0,2,2,2023
4,4,4,4,4,3,2023
5,4,0,0,1,4,2023
4,3,1,5,2,5,2023
3,2,5,0,3,6,2023
4,5,3,1,0,7,2023
1,1,4,4,3,8,2023
4,5,4,3,3,9,2023
1,0,2,0,1,10,2023
4,4,3,5,1,11,2023
4,1,3,5,4,12,2023
