rating1,rating2,rating3,rating4,rating5,month,year
2,2,1,2,0,6,2021
3,5,5,4,3,7,2021
3,4,0,5,0,8,2021
4,5,2,0,4,9,2021
0,0,4,4,3,10,2021
3,5,3,4,2,11,2021
2,2,5,1,5,12,2021
3,1,4,4,0,1,2022
1,5,4,4,2,2,2022
1,4,5,1,1,3,2022
4,4,4,1,5,4,2022
0,4,1,4,4,5,2022
4,0,5,4,3,6,2022
5,4,1,0,1,7,2022
4,3,1,4,2,8,2022
5,3,2,5,5,9,2022
5,5,2,4,3,10,2022
5,1,2,3,1,11,2022
1,4,0,0,0,12,2022
2,1,4,3,4,1,2023
0,1,1,1,2,2,2023
5,3,5,3,5,3,2023
4,1,2,5,0,4,2023
3,4,2,1,5,5,2023
3,4,5,3,1,6,2023
4,1,0,3,1,7,2023
0,1,4,4,1,8,2023
0,3,1,1,1,9,2023
4,3,1,4,1,10,2023
1,0,3,1,1,11,2023
4,1,3,0,3,12,2023
