rating1,rating2,rating3,rating4,rating5,month,year
1,5,1,4,1,2,2021
1,4,3,1,0,3,2021
2,3,3,5,1,4,2021
1,1,5,0,5,5,2021
1,0,1,0,0,6,2021
3,1,5,1,4,7,2021
5,4,2,5,0,8,2021
4,5,4,5,3,9,2021
1,1,2,4,2,10,2021
0,1,2,5,1,11,2021
5,0,0,1,3,12,2021
2,1,4,0,0,1,2022
2,4,0,3,3,2,2022
4,1,0,2,2,3,2022
5,2,0,3,2,4,2022
3,2,3,1,0,5,2022
5,3,3,3,1,6,2022
1,2,2,5,5,7,2022
4,1,5,1,2,8,2022
5,5,2,4,3,9,2022
3,3,0,4,4,10,2022
2,4,1,1,0,11,2022
0,4,2,1,2,12,2022
1,5,3,3,3,1,2023
3,0,1,3,1,2,2023
4,5,3,5,1,3,2023
1,2,4,0,2,4,2023
4,0,0,0,1,5,2023
1,5,0,2,1,6,2023
1,3,5,5,3,7,2023
0,5,3,4,1,8,2023
5,2,4,1,2,9,2023
5,3,1,1,2,10,2023
3,4,1,5,1,11,2023
5,1,3,4,5,12,2023
