rating1,rating2,rating3,rating4,rating5,month,year
0,1,5,2,5,4,2021
0,0,3,1,3,5,2021
4,5,5,3,2,6,2021
5,3,0,5,4,7,2021
2,1,1,5,4,8,2021
5,4,1,5,0,9,2021
2,3,2,5,3,10,2021
4,3,0,5,4,11,2021
1,4,2,5,4,12,2021
4,4,3,1,2,1,2022
5,5,3,4,1,2,2022
5,5,3,2,5,3,2022
5,4,4,4,0,4,2022
3,2,2,0,4,5,2022
1,5,3,5,3,6,2022
3,5,1,4,1,7,2022
5,1,0,3,1,8,2022
5,2,5,4,2,9,2022
0,5,3,3,1,10,2022
0,3,3,3,0,11,2022
5,2,3,5,3,12,2022
5,2,1,4,4,1,2023
1,0,2,5,0,2,2023
3,3,5,5,5,3,2023
3,0,0,5,4,4,2023
3,0,1,3,0,5,2023
0,4,4,0,3,6,2023
1,0,5,2,0,7,2023
1,5,0,2,0,8,2023
0,1,0,3,5,9,2023
2,0,0,3,2,10,2023
2,2,0,5,2,11,2023
5,5,0,3,2,12,2023
