year,month,day,sales1,sales2,sales3,sales4,sales5,rent, employeePayment, electricity, gaz, vegetables, meats, otherIngredients, publicity
2019,9,22,43017,83078,48823,30941,49433,1482.87,3761,3962,2675,6400,45716,11890,25905
2019,9,23,24626,5638,65778,55454,28249,1482.87,1747,2525,2606,8370,24793,24900,19245
2019,9,24,95006,13063,36359,75355,46628,1482.87,2820,2002,3802,6598,36936,18374,39373
2019,9,25,27548,62051,58550,51575,58451,1482.87,3866,4427,1255,9643,54881,20855,20618
2019,9,26,25240,26629,24733,17847,75066,1482.87,2746,1423,1198,9104,78129,16552,15878
2019,9,27,84830,80951,80620,89984,48945,1482.87,4569,2843,1926,6246,44417,17662,17557
2019,9,28,23737,18284,53836,66344,74279,1482.87,2198,4518,3049,8283,33716,18942,25069
2019,9,29,60513,76463,62242,55805,55567,1482.87,866,1747,2673,8446,46730,36617,40372
2019,9,30,44956,91301,79462,40914,10771,1482.87,1673,4506,4866,7474,17201,49144,40231
2019,10,1,70753,65015,91331,49036,98731,1790.39,899,1544,3038,6846,47111,19761,1606
2019,10,2,12133,20211,7435,39532,83294,1790.39,4487,4593,4865,5400,13790,46447,10405
2019,10,3,37075,52575,21314,18936,69776,1790.39,2216,1064,1824,7104,11838,16907,36811
2019,10,4,697,31815,58452,30087,29871,1790.39,4848,3354,2125,7278,97885,41770,21915
2019,10,5,34039,82373,16364,40256,24126,1790.39,1703,2551,2004,8016,12838,23132,34431
2019,10,6,94827,55055,13660,63004,4954,1790.39,1262,2001,4092,9436,52088,13962,35927
2019,10,7,42981,51937,88669,1458,91923,1790.39,3227,1932,1142,5942,66216,25755,36554
2019,10,8,10373,52920,3307,13730,77289,1790.39,1861,3466,3902,6872,67821,17722,32497
2019,10,9,52799,14084,47210,53243,35150,1790.39,2204,3129,2585,8926,95938,19026,49298
2019,10,10,58779,39166,85470,60409,31460,1790.39,1163,1831,2309,5821,55560,14597,18038
2019,10,11,38318,58774,19416,58572,75647,1790.39,2427,3444,2672,7982,81687,11314,37238
2019,10,12,30287,65244,47303,97873,37469,1790.39,2380,2598,3757,9201,89358,30216,43241
2019,10,13,27239,91874,88401,80900,97695,1790.39,1848,2363,4086,5086,27286,44732,10313
2019,10,14,34854,11067,39529,52526,42056,1790.39,1699,2341,4163,5353,70213,22983,37568
2019,10,15,44947,43946,1934,60056,19499,1790.39,554,3089,3164,5024,43988,47210,41292
2019,10,16,55337,55838,65926,90775,3454,1790.39,506,3306,4277,5578,14376,46332,43212
2019,10,17,78955,45235,35027,14470,30589,1790.39,2452,1078,1084,5737,35589,11166,21592
2019,10,18,97029,42214,64477,96545,53590,1790.39,918,1142,1318,9562,16052,34107,8466
2019,10,19,85596,17912,38766,6225,59299,1790.39,3909,4604,1183,7880,69074,38123,45949
2019,10,20,25527,72879,30010,7416,78617,1790.39,3803,1996,1042,6568,19602,44105,31951
2019,10,21,98097,15000,19384,78751,7384,1790.39,2857,4330,3347,6518,31906,28997,35437
2019,10,22,63924,816,83602,71459,4751,1790.39,4581,1629,1906,9590,54044,36874,19028
2019,10,23,21541,62848,28871,78409,52480,1790.39,2514,1160,1990,7618,45678,38850,2006
2019,10,24,43686,24888,98181,97033,26511,1790.39,1029,1785,1814,5983,78243,16102,30087
2019,10,25,95011,87825,98634,53269,43767,1790.39,598,1658,3229,5365,60067,11478,19031
2019,10,26,85481,32582,67637,66948,40831,1790.39,797,4516,4553,5414,97900,47415,29667
2019,10,27,417,40283,4201,47671,66266,1790.39,1026,2627,1619,9330,30896,30385,32444
2019,10,28,43,37391,12045,48272,89108,1790.39,674,1890,1044,9320,74239,28226,38464
2019,10,29,78987,30038,79095,33540,367,1790.39,2307,2134,3629,6058,64804,16246,26996
2019,10,30,33952,80832,93874,20571,11844,1790.39,2308,1885,4864,5704,76508,10646,41122
2019,10,31,84168,41841,91264,21564,7513,1790.39,4789,1498,1892,8884,36390,28610,31856
2019,11,1,83698,62098,5861,35205,43254,2407.7,507,1774,1968,9750,52279,23453,22107
2019,11,2,89739,80517,68318,1795,73378,2407.7,961,1569,1256,7524,39082,16232,18641
2019,11,3,23666,41933,86356,2550,78323,2407.7,1132,3371,3414,6992,29928,36668,31318
2019,11,4,19099,15436,77105,51431,54218,2407.7,1235,1258,2604,9552,62101,15981,45737
2019,11,5,94545,64415,47552,87153,71939,2407.7,536,1956,3565,7970,14505,23240,36634
2019,11,6,79289,5639,1612,89055,18983,2407.7,2074,4433,4679,9179,11736,33896,47892
2019,11,7,81268,47099,10557,23872,73003,2407.7,1205,3898,3424,7522,71051,41714,39010
2019,11,8,6742,32667,53671,51659,80638,2407.7,1250,1277,1398,5734,65331,18306,18177
2019,11,9,57106,7407,63582,36785,42938,2407.7,681,1122,4246,7589,64427,38600,35797
2019,11,10,86599,20633,22500,40023,40741,2407.7,1737,3833,2568,5407,15492,39557,9903
2019,11,11,19936,6743,15835,26454,15957,2407.7,1954,3062,1276,5535,26198,14213,47519
2019,11,12,17685,13232,21122,83283,10821,2407.7,1883,2419,2533,5942,53793,29625,35549
2019,11,13,86989,35531,43460,29557,87291,2407.7,942,3577,3397,5230,50031,14354,25304
2019,11,14,15171,1986,3769,36447,33873,2407.7,2011,1556,3198,8132,51191,20370,29967
2019,11,15,40034,73075,67790,78919,50161,2407.7,4895,2148,3465,8354,83056,27107,37936
2019,11,16,10010,68523,686,8408,69824,2407.7,4113,1345,4053,9233,37792,11730,1444
2019,11,17,5552,71156,70835,65102,9289,2407.7,954,1356,1734,9613,44591,11611,22026
2019,11,18,57549,19487,98760,47367,54194,2407.7,4473,1118,1382,5158,88961,36513,31816
2019,11,19,92227,44427,37859,61280,20012,2407.7,4205,1136,3158,5039,90664,22446,42003
2019,11,20,57065,42489,54472,68516,62103,2407.7,534,4650,4900,5237,83368,39093,49063
2019,11,21,27053,7843,86001,93743,49353,2407.7,1607,2931,1490,8942,19210,11512,24962
2019,11,22,92821,99768,97667,55979,51159,2407.7,4776,4574,2171,9247,93089,18556,38332
2019,11,23,14662,39568,45277,49563,1157,2407.7,534,3209,2838,8126,38303,18543,28645
2019,11,24,32322,84912,76475,68062,85730,2407.7,686,3549,1804,7831,34528,12962,45685
2019,11,25,42515,95657,87538,89686,11257,2407.7,3959,1844,2898,9542,75479,16246,46979
2019,11,26,5584,46840,98616,58423,87847,2407.7,1965,1406,1830,6888,18350,15128,36920
2019,11,27,65476,44746,2461,77280,82577,2407.7,998,1590,3997,8272,14775,26605,3341
2019,11,28,41110,30087,2523,94008,90674,2407.7,3062,1257,1193,6677,71031,29039,44355
2019,11,29,99949,64349,65560,38131,17788,2407.7,2041,4614,1236,9014,76894,13812,20140
2019,11,30,17843,17137,55255,83192,61268,2407.7,4796,3728,2820,8671,12736,39846,36383
2019,12,1,77151,52456,14219,40180,39839,2355.65,1480,4186,1414,9230,21973,11660,9610
2019,12,2,56653,21588,42897,37507,14834,2355.65,706,3321,4667,9794,25940,31049,23062
2019,12,3,14689,44670,80223,93360,73758,2355.65,2736,1824,3875,6954,14886,28713,20069
2019,12,4,56565,63919,32900,98085,74882,2355.65,4744,1533,4163,5292,69039,23997,21225
2019,12,5,42055,40740,72319,86722,95632,2355.65,4123,1672,2928,8700,36383,33037,48260
2019,12,6,50766,19121,297,55993,32427,2355.65,4705,1398,3005,7922,13738,12886,7735
2019,12,7,5181,29524,10772,14344,98517,2355.65,4692,1150,1901,7011,27292,48885,29811
2019,12,8,25271,61416,75558,84551,92113,2355.65,2587,2877,2412,7883,98869,46191,28293
2019,12,9,41970,99927,1534,29975,33883,2355.65,4212,1686,1682,9983,69757,49352,21313
2019,12,10,16146,24451,6276,69400,67814,2355.65,3284,4435,1334,6486,93985,13814,33568
2019,12,11,38486,27925,46324,2251,62160,2355.65,3441,4128,2822,9974,50455,11704,11545
2019,12,12,21288,76020,67119,88476,12356,2355.65,4179,4852,4029,7414,14251,11842,3228
2019,12,13,94022,32536,71278,5356,42729,2355.65,642,1214,1790,7828,83464,38049,31615
2019,12,14,65725,98258,8531,43547,98232,2355.65,1602,1750,2708,5072,24345,30063,25338
2019,12,15,8301,94878,24917,18682,55332,2355.65,524,1420,3055,8153,87412,30783,39168
2019,12,16,66121,12567,28350,92011,395,2355.65,1412,1119,1422,5206,26017,41006,28166
2019,12,17,96632,97621,76877,80692,52693,2355.65,755,1994,2451,5671,96026,34134,17575
2019,12,18,41191,92903,49840,29246,61056,2355.65,1381,3527,1170,8726,35538,16564,37253
2019,12,19,49249,48303,49036,92023,69597,2355.65,4380,2579,2673,5228,63270,41717,25054
2019,12,20,60184,24026,19063,88987,26049,2355.65,3120,3591,2990,9312,12836,35397,15089
2019,12,21,76565,5570,28926,59087,26653,2355.65,650,2252,4117,8374,10166,15065,30816
2019,12,22,82444,50008,97645,71469,92617,2355.65,3185,4151,2644,9018,74489,10044,27267
2019,12,23,47336,47610,43636,71678,3274,2355.65,2075,1189,3393,6000,55275,10100,6473
2019,12,24,66816,80927,13650,12285,88317,2355.65,2349,1528,1280,9996,42227,39603,30629
2019,12,25,18612,71765,58755,36256,4013,2355.65,1300,2699,3556,9935,39377,16830,49596
2019,12,26,12760,12805,13020,7506,98805,2355.65,3902,1971,1156,5114,94255,15586,18296
2019,12,27,73181,21605,41001,70168,62950,2355.65,4770,1560,1343,9762,34168,41707,49580
2019,12,28,84472,30469,59408,98028,86756,2355.65,4857,1744,4292,8468,23372,43096,15137
2019,12,29,12525,52275,41420,78098,11179,2355.65,3338,4358,3630,9338,70877,36579,35675
2019,12,30,88918,30648,34492,76613,81876,2355.65,3320,2698,1946,8168,80726,18587,18660
2019,12,31,75568,11936,34455,19860,72517,2355.65,4307,1590,1452,5878,79489,37631,7827
2020,1,1,44180,38342,46383,33518,25572,2346.84,3786,2570,3804,5399,54446,19782,32962
2020,1,2,72,37145,17944,44151,34223,2346.84,4717,2510,2336,5928,35026,11514,36531
2020,1,3,35236,36420,87968,72314,32261,2346.84,590,1440,1643,5818,26309,22214,41951
2020,1,4,90761,65097,94786,24565,96848,2346.84,3380,1918,4079,7676,41068,19654,15584
2020,1,5,30559,77138,32165,17896,33066,2346.84,4409,4652,1313,7466,56965,34926,33543
2020,1,6,42031,2031,61367,55027,9830,2346.84,3592,1941,4123,9468,41505,15970,37676
2020,1,7,70313,1239,62889,89393,78915,2346.84,806,4472,2445,7838,27367,46862,20309
2020,1,8,23809,23130,31515,60123,23210,2346.84,918,1592,1861,5542,36618,33042,4832
2020,1,9,10442,46563,49984,95918,51293,2346.84,1887,1604,4079,9094,27348,37993,7842
2020,1,10,61437,2747,97466,75235,43013,2346.84,3448,1821,1342,9963,43295,20227,41186
2020,1,11,74795,4696,18172,98009,27462,2346.84,2402,4254,2704,7386,50171,18996,4790
2020,1,12,5228,28412,90601,30659,69540,2346.84,3651,1960,3399,9902,22561,46412,34302
2020,1,13,90006,61011,79586,87024,47326,2346.84,2251,3471,2575,5422,52831,21388,22881
2020,1,14,96565,235,25643,14269,13973,2346.84,3264,1112,1164,7222,66209,40116,42167
2020,1,15,40870,1213,37444,94270,50033,2346.84,2033,1526,3719,6618,43413,17396,26358
2020,1,16,9499,67017,72220,53426,92440,2346.84,4813,1450,1637,6807,35975,11228,25052
2020,1,17,75326,35592,91161,12255,42160,2346.84,2370,3029,4933,6166,93650,41317,23722
2020,1,18,48876,684,81356,2595,3654,2346.84,1342,3151,3137,8561,82928,16928,41122
2020,1,19,33613,24094,38636,91602,90901,2346.84,2210,2578,1553,9454,94832,18713,24611
2020,1,20,44796,13556,51743,19729,86074,2346.84,1046,4948,2427,8753,53894,16080,45393
2020,1,21,16227,90237,95584,24365,98798,2346.84,2644,3762,3956,6280,40363,26208,28512
2020,1,22,87243,3927,8787,13797,58649,2346.84,2509,3444,3526,9798,39524,19599,3620
2020,1,23,12348,16923,54548,74775,92029,2346.84,2206,3254,1238,5588,48970,13826,8442
2020,1,24,47653,6616,62589,82961,2896,2346.84,4168,1166,1878,7955,15762,31878,2953
