year,month,day,sales1,sales2,sales3,sales4,sales5,publicity_costs,costs
2014,3,4,37973,38341,92693,66899,11472,44075,87539
2014,3,5,50874,25534,8697,51831,2326,29496,74791
2014,3,6,54295,96802,14961,62310,2881,46550,44815
2014,3,7,79590,4370,19613,63612,80548,10429,34297
2014,3,8,94565,46919,70547,48889,85259,13240,55787
2014,3,9,13082,73666,23326,80307,99199,48374,2137
2014,3,10,17876,44221,56928,72171,57374,38240,50832
2014,3,11,60254,34789,25646,56195,55511,45258,16158
2014,3,12,36058,72038,20455,30622,35308,7353,9510
2014,3,13,36918,86944,11649,49999,76961,1326,306
2014,3,14,92512,16051,78794,10387,60271,2073,72557
2014,3,15,17644,56664,33388,94249,91453,25385,56795
2014,3,16,46963,36995,2953,83020,9032,23407,9993
2014,3,17,60692,47111,25854,97609,34055,37502,77608
2014,3,18,11015,5179,94265,3526,21229,23058,10265
2014,3,19,97851,41483,12821,31846,98146,12561,62446
2014,3,20,5950,37945,9241,69264,91291,28545,18635
2014,3,21,16675,68303,98627,77366,15413,24481,74974
2014,3,22,65819,78334,38933,93186,99865,33197,26711
2014,3,23,37445,22607,43327,35296,64089,6148,33493
2014,3,24,78586,35060,25939,84536,89356,1531,73799
2014,3,25,80647,80075,38786,97321,48377,37412,84686
2014,3,26,80141,78244,66011,45960,72930,4944,9145
2014,3,27,72794,38140,52207,10238,60746,45534,61885
2014,3,28,41186,68033,45378,19772,3092,37668,70659
2014,3,29,92447,39198,90809,73093,35624,29594,16765
2014,3,30,84000,67006,61450,64140,61601,27461,86451
2014,3,31,34530,48756,65595,23675,86895,17802,70265
2014,4,1,63993,13335,12149,5178,81367,23878,21301
2014,4,2,810,77897,61959,93256,17094,2768,62701
2014,4,3,52717,82361,69465,53068,65718,47267,53560
2014,4,4,27319,91079,60010,78200,39834,25605,11875
2014,4,5,26728,59758,68491,90720,89444,30639,22250
2014,4,6,87162,70869,53550,87971,48765,15509,27578
2014,4,7,82211,84628,80278,51279,83340,49743,24347
2014,4,8,49058,13361,54258,92728,4439,14267,17279
2014,4,9,44272,56223,89153,87351,32332,7643,64423
2014,4,10,21775,54634,6672,25288,41854,26573,3258
2014,4,11,6970,8433,10836,89180,93060,41113,20459
2014,4,12,76400,57207,61157,41809,70567,31766,50888
2014,4,13,91357,62384,38166,51980,34959,43671,29331
2014,4,14,67290,1313,33753,5417,72298,6776,20704
2014,4,15,30503,33348,43962,37473,41781,21149,23004
2014,4,16,51192,78613,99814,43943,52172,27322,15751
2014,4,17,22738,9087,52990,30447,71471,41156,2426
2014,4,18,6429,34826,21756,90070,52490,21860,35486
2014,4,19,41140,44987,42542,71642,78335,2855,65466
2014,4,20,36467,74003,68470,87658,52615,18283,41601
2014,4,21,4786,61957,33703,43876,71043,36693,60674
2014,4,22,58865,94200,73099,81645,29025,11207,11715
2014,4,23,97866,99418,83552,39005,44405,26093,6999
2014,4,24,39091,28947,52464,75557,19301,37285,59566
2014,4,25,71916,21920,27518,93053,83876,11221,43280
2014,4,26,54918,64265,43953,30135,58464,17052,31779
2014,4,27,3840,44610,99845,1705,44027,33397,60710
2014,4,28,88431,25841,67708,27521,71140,36523,9429
2014,4,29,90440,73808,15347,78707,95727,42864,28112
2014,4,30,79602,20436,41391,50871,1052,35344,51005
2014,5,1,59515,18747,9136,79706,63356,8980,61411
2014,5,2,23734,8728,38472,28517,34569,22531,32389
2014,5,3,5708,59053,91818,12499,32860,7164,27558
2014,5,4,28586,66379,95669,24539,86815,37059,65410
2014,5,5,87866,38754,72766,63733,73852,31901,13438
2014,5,6,53559,90881,41200,77293,99608,29671,75809
2014,5,7,50528,2201,78197,72587,61254,36366,51438
2014,5,8,10465,9881,8995,55403,76260,4663,79941
2014,5,9,63074,58073,71702,67291,13179,10820,21023
2014,5,10,87030,42720,90813,56941,49952,32012,34233
2014,5,11,65912,28035,56393,32791,46587,941,45378
2014,5,12,7840,37307,6815,34657,63539,32161,10059
2014,5,13,39798,53175,86351,19223,27599,8053,2866
2014,5,14,40777,35224,50240,44159,77943,41052,31099
2014,5,15,44247,89416,51683,26510,17450,24427,39300
2014,5,16,80388,75367,64677,4580,29025,37843,19236
2014,5,17,92564,36355,45646,48713,89529,31996,64288
2014,5,18,17128,6400,87153,74256,41623,37392,58414
2014,5,19,35918,94796,35864,80164,563,3898,83025
2014,5,20,34364,28324,82324,14751,20043,13353,9330
2014,5,21,49067,67547,58565,57982,3902,4210,33047
2014,5,22,93430,52558,7334,26909,58957,10838,51165
2014,5,23,580,64581,35930,52849,59376,38146,29364
2014,5,24,59938,92043,72388,10653,36719,21063,25404
2014,5,25,56761,34415,44733,22179,1962,3298,10161
2014,5,26,22215,23859,3207,31996,76416,26892,78905
2014,5,27,51725,37729,76421,68656,2309,12350,71504
2014,5,28,78037,495,70867,54326,8890,9606,44979
2014,5,29,45608,30668,90382,18720,65083,35114,10898
2014,5,30,83396,54763,37410,5610,94974,6968,13957
2014,5,31,87741,83859,12861,39465,37939,39281,78120
2014,6,1,40248,17983,29623,34636,18477,16841,28961
2014,6,2,43718,76446,70291,5677,7114,10672,24396
2014,6,3,88548,12138,81646,71943,83252,19055,63904
2014,6,4,94577,76023,47860,82318,76233,27073,41782
2014,6,5,14172,66353,29902,70771,687,9524,35406
2014,6,6,19164,92717,10718,79233,69162,31009,64910
2014,6,7,92627,58032,25657,81174,86521,7302,79468
2014,6,8,69773,42709,79723,64349,35083,43935,63018
2014,6,9,11315,21007,84800,41838,3711,14701,52608
2014,6,10,4398,90576,34365,39913,83292,11435,89145
2014,6,11,68806,58795,20406,61432,16826,46063,72606
2014,6,12,3347,53364,28425,89471,12424,8148,70171
2014,6,13,47506,52082,33189,75173,89440,34340,67010
2014,6,14,9502,49040,45970,13899,55967,46686,163
2014,6,15,39259,74472,89308,8064,33266,26065,55847
2014,6,16,50092,72127,28452,69790,41843,23229,65612
2014,6,17,54266,81376,62134,18124,49809,11674,3296
2014,6,18,39248,46013,26657,48749,11404,22626,39000
2014,6,19,67371,85664,49162,22981,60135,4821,47396
2014,6,20,93401,80886,33242,59844,69364,11694,55985
2014,6,21,11206,34922,37948,81824,32649,16433,9947
2014,6,22,82457,28107,93242,38056,90471,19898,23156
2014,6,23,1875,8876,98507,69245,10891,47669,58577
2014,6,24,87377,18841,55972,97129,16078,39213,86972
2014,6,25,1794,67258,19308,29351,18531,23607,81174
2014,6,26,51179,90040,11120,49987,18146,20713,74394
