year,month,day,sales1,sales2,sales3,sales4,sales5,rent, employeePayment, electricity, gaz, vegetables, meats, otherIngredients, publicity
2001,2,9,27000,33509,10336,5262,48533,1885.5,4985,3834,4615,5408,57585,13000,38163
2001,2,10,79452,39350,17401,72642,3966,1885.5,4737,2595,1172,6988,74201,19499,22901
2001,2,11,88690,45813,75360,76059,89333,1885.5,850,1332,4579,5540,37945,13111,14720
2001,2,12,60055,47931,23299,11023,630,1885.5,758,1433,1926,7774,69074,40550,30884
2001,2,13,47027,40165,39498,67609,83654,1885.5,3459,2342,1734,8818,64753,15195,13699
2001,2,14,9891,9959,81528,74470,81851,1885.5,3933,3257,3754,7231,69279,11926,19473
2001,2,15,24467,59654,97170,61051,83781,1885.5,2952,1622,2759,7449,98414,22765,32596
2001,2,16,87501,1874,11460,63363,97045,1885.5,3557,1934,3874,6006,97755,11750,42565
2001,2,17,45909,18041,75335,29664,61624,1885.5,808,2441,1246,7568,63492,17622,10966
2001,2,18,26516,97797,51558,65628,55247,1885.5,3392,2746,3197,6203,12226,15241,49972
2001,2,19,8769,34667,88528,27643,61103,1885.5,4719,2011,1360,8054,36674,32298,36283
2001,2,20,81019,67074,84741,17990,10994,1885.5,3739,3860,2380,9782,19487,33978,14585
2001,2,21,56621,7880,76725,24818,24084,1885.5,534,4203,3851,8585,76845,44953,32834
2001,2,22,81220,37918,18317,1895,74323,1885.5,545,1394,3415,6578,89682,15760,4991
2001,2,23,66222,44774,19622,44954,35071,1885.5,578,3042,3340,8062,32859,15130,39109
2001,2,24,71194,22918,69331,21397,17855,1885.5,2702,4073,1806,8214,17320,24767,12528
2001,2,25,6010,17866,46461,60777,19503,1885.5,1537,2075,2267,5030,63380,48689,2495
2001,2,26,17971,58665,56732,97663,47026,1885.5,1437,4570,3859,7119,55967,46713,39591
2001,2,27,49648,88670,62140,50092,39688,1885.5,1210,2048,2324,7670,22825,16826,29460
2001,2,28,56517,65715,35254,53785,28225,1885.5,2473,2546,3650,5557,60209,20675,48634
2001,3,1,77999,55246,94008,65119,11213,2101.52,4765,1233,4211,9722,72273,48670,7073
2001,3,2,22420,34322,12347,26442,73499,2101.52,2958,4212,1564,6742,83788,45763,45525
2001,3,3,55568,46336,69414,31125,22897,2101.52,2624,1798,1685,5976,66012,39250,6441
2001,3,4,80056,80778,21836,15620,61987,2101.52,641,4405,4782,9340,27198,18280,44109
2001,3,5,4865,10157,73846,1995,46899,2101.52,2757,3818,1672,7054,66294,19146,23986
2001,3,6,6315,78919,60464,84352,1902,2101.52,4953,3309,3605,7186,30280,15614,26476
2001,3,7,5898,77274,2701,50680,36614,2101.52,634,1478,1030,9157,59824,13250,29899
2001,3,8,49495,73934,22124,86168,73808,2101.52,735,1038,2336,6198,64472,35590,38419
2001,3,9,49027,54427,252,72632,66216,2101.52,4574,3464,2804,7274,55496,10770,30532
2001,3,10,23525,40809,2249,63580,16318,2101.52,1885,1632,2357,9008,51978,26164,28425
2001,3,11,93779,14067,6286,77468,20265,2101.52,3057,1294,1534,9660,58273,15510,20758
2001,3,12,10192,49200,96216,34348,42826,2101.52,1006,1350,1854,7444,46281,41540,18064
2001,3,13,8494,13167,23704,60851,18528,2101.52,3366,2305,2452,6003,89772,42716,42035
2001,3,14,96762,69182,44712,38297,48842,2101.52,2399,1566,3536,9942,26084,27713,19337
2001,3,15,43030,37554,10416,68253,67624,2101.52,1144,1116,4863,6199,36967,38390,6698
2001,3,16,74586,56686,17049,97038,82690,2101.52,1106,1614,2354,6606,50450,41195,6821
2001,3,17,20154,12850,32933,5042,4168,2101.52,4107,2196,1569,9522,31800,14192,9017
2001,3,18,16220,74297,40310,2436,56849,2101.52,2177,1433,1282,8460,44823,33002,43629
2001,3,19,47399,930,45157,39753,18099,2101.52,2299,3251,4808,7702,59645,28976,45608
2001,3,20,89248,8753,92525,2170,68275,2101.52,2713,1702,4973,6054,19633,21821,24326
2001,3,21,33003,26811,19608,83317,67389,2101.52,2670,1138,1711,8368,87242,49809,14431
2001,3,22,89787,84542,38061,14595,31126,2101.52,3570,1724,2809,6095,38893,14882,14058
2001,3,23,76773,21608,8283,91746,60982,2101.52,4919,3984,1077,5878,93652,19298,27916
