year,month,day,sales1,sales2,sales3,sales4,sales5,rent, employeePayment, electricity, gaz, vegetables, meats, otherIngredients, publicity
2015,4,1,28898,18618,17630,74629,61370,2317,2457,1742,1982,8678,83468,13758,47799
2015,4,2,73790,14866,31070,31374,17792,2317,4036,4210,4247,5229,81156,29855,16332
2015,4,3,91454,80482,52910,75921,69246,2317,520,4494,4864,8482,10958,10374,39896
2015,4,4,78388,12932,93015,80370,69818,2317,2243,3606,2700,9338,74979,41844,42836
2015,4,5,67348,30369,67407,1595,11950,2317,1450,3402,1614,8728,79322,30993,48564
2015,4,6,90607,75931,45489,81824,90167,2317,4409,4905,1014,7560,65274,16415,1936
2015,4,7,36611,18870,10022,60664,19886,2317,3859,2233,3072,6265,10368,10022,1353
2015,4,8,34829,2982,63425,96578,37341,2317,2570,4299,1238,6126,42474,41547,9100
2015,4,9,40374,93236,26454,36972,53363,2317,3386,1325,3301,9759,83340,13186,8080
2015,4,10,31112,2200,66772,79185,88465,2317,558,4645,4932,5334,52574,28625,21952
2015,4,11,94434,80145,89277,29463,69556,2317,2362,4928,1337,7640,63251,11051,48103
2015,4,12,38247,66638,17377,81548,12749,2317,1086,3859,2915,7857,39395,15474,1444
2015,4,13,16161,94954,63730,7446,46641,2317,1070,1073,2799,6822,86888,32354,32656
2015,4,14,89801,74251,8635,47490,4418,2317,3540,2663,4874,9106,40563,17622,21886
2015,4,15,92986,1650,27835,12254,45859,2317,1337,2019,3535,6418,69464,41527,17230
2015,4,16,49074,21887,82601,78225,63585,2317,579,4736,3738,5565,17225,14507,19489
2015,4,17,73804,92118,23524,28678,84387,2317,2652,3724,1480,6838,11964,27945,14087
2015,4,18,40420,58667,89965,18955,75085,2317,1833,1028,2666,9434,18733,27602,25781
2015,4,19,28923,95665,47339,89014,81231,2317,3520,1366,4385,6800,18422,40123,30916
2015,4,20,57482,12715,83848,39569,69553,2317,2514,4972,4842,7670,45278,12566,6177
2015,4,21,49612,22113,96788,47278,97899,2317,4880,3172,2537,8570,32185,17544,15522
2015,4,22,85839,2059,80153,75224,95454,2317,702,4287,4281,5546,17720,45186,30216
2015,4,23,71723,92722,21511,36566,66553,2317,2843,1163,1604,5983,79792,19502,33141
2015,4,24,37857,21025,62676,65394,9596,2317,4161,1785,3270,5390,13470,25076,11213
2015,4,25,50881,68707,10716,60163,50605,2317,706,2327,3644,6430,58892,11548,35923
2015,4,26,76351,68088,27712,97956,74071,2317,2457,1926,4880,6484,93672,20827,23856
2015,4,27,7698,67834,82613,37320,54851,2317,2395,1472,1030,9462,82245,21635,35973
2015,4,28,25386,53946,43963,54030,47156,2317,577,3505,2293,9640,37812,27716,19207
2015,4,29,49848,55271,5995,94728,51755,2317,554,1616,3851,8166,13123,38702,49667
2015,4,30,50491,91871,44434,21522,81334,2317,3156,1718,1975,6950,77099,44130,43031
2015,5,1,59029,83988,26322,68669,21801,1463.29,4867,3422,1384,9595,45176,26050,20390
2015,5,2,95150,37333,9903,59669,50456,1463.29,662,3677,4389,6746,40010,19422,48605
2015,5,3,91188,63081,49395,94658,40180,1463.29,3685,4207,3863,6359,84227,15663,9877
2015,5,4,96749,19096,9086,23133,65043,1463.29,4183,1543,4298,5437,36211,41105,20615
2015,5,5,24042,62723,49783,49783,94402,1463.29,3553,1941,4225,7947,12950,25757,6146
2015,5,6,94176,46637,41317,4391,22996,1463.29,502,4743,2343,5491,59228,42385,41897
2015,5,7,32458,8412,18929,73108,83849,1463.29,4212,4241,4214,8000,90375,44967,21493
2015,5,8,20141,8929,46909,5718,93228,1463.29,2826,2402,2847,9143,91792,12194,9860
2015,5,9,31040,28199,98290,24735,90043,1463.29,2119,3851,2280,9626,11959,32480,7518
2015,5,10,73892,92524,23074,8106,6519,1463.29,3073,3010,3728,6333,65080,48307,13449
2015,5,11,76193,12907,52062,15392,2050,1463.29,3937,4440,3404,8938,74174,44798,10207
2015,5,12,66097,57646,50003,48378,60046,1463.29,2209,3936,1682,9366,42042,43707,28314
2015,5,13,84,11468,36718,38813,27801,1463.29,3471,1410,1056,5533,35736,49457,18150
2015,5,14,15740,46027,15251,20496,38254,1463.29,598,1412,3422,6622,85430,23467,5777
2015,5,15,76314,32641,73756,47150,2924,1463.29,856,4358,3616,7862,74522,21417,15798
2015,5,16,12076,77995,91763,59484,33528,1463.29,3941,4266,4876,8392,69761,44481,43851
2015,5,17,29968,1408,65184,9742,99408,1463.29,4560,1450,4605,6642,22870,18880,1238
